name,rating,review
Đỗ Xuân Hiệp,5,"thiết kế độc đáo, màn hình cao cấp, đồng bộ dễ dàng, camera chụp ảnh chất lượng"
 Nguyễn Văn Chung,5, nhận hàng check kỹ là tốt
Nguyễn Quyết Thắng,5, mình sạc máy thôi mà nó lên tận 48°© lận
Phạm Viết Huỳnh,5," màn hình siêu mượt, cam chụp nét đẹp"
BÌNH,5, nhưng giá lần này cao hơn 3 tháng trước gần 300k
Tùng Anh,5,"sản phẩm tốt, dùng rất hài lòng"
Lương Thanh Được,5,máy sạc hơi nóng và cũng hơi lâu hơn f9mjh đang dùng mjh mua hôm 26 _10 nên chưa biết có ổn không các bạn muốn mua nên chờ vài tuần xem đánh giá người dùng
Hương,5,"máy thiết kế quá đẹp, mình mua trả góp thủ tục nhanh chóng, giấy tờ hoá đơn đầy đủ"
HAI,4,sản phẩm này xài tốt nhưng còn phần ít bị hạn chế ví dụ như ghi âm cuộc gọi
Bỉnh Phát,5,"tản nhiệt hiệu quả, hiệu suất ổn định, màn hình siêu nét"
MINH,5,"chơi game liên quân mượt , mọi tác vụ đều tốt"
 Hồ Đắc Thành,5,"cấu hình khủng kèm theo dung lượng lớn , khá là ưng"
THOAN,5,tốt về sản phẩm và nv tư vấn
Cường,5, tôi sẽ giới thiệu sản phẩm này cho bạn bè người thân mua hàng tại shop
 Anh An,5,"hiệu năng hoạt động tốt, ưng"
TUẤN,5,về chất lượng wifi thì điện thoại hỗ trợ được 70% tốc độ đường truyền wifi
Vo Văn Phi,5,rất tốt pin rất cực lâu màn hình sắc nét
Nguyễn Thị Ánh Ngọc,5, chỉ có điều cam hơi xấu tí nhưng mà trong tầm giá là ổn nha
Lee Wuang Huy,4,"điện thoại kiểu dáng đẹp, chắc tay pin 5000 tuột không nhanh nhưng không lâu như mong đợi chip hơi yếu, ram 6gb mà nó cứ chậm chậm như 4gb camera chụp đẹp tốt với tầm giá đáng mua"
bích hoa,5,"cấu hình nhanh, giao diện rõ nét, giá cả vô cùng hợp lý"
Tuấn Lâm,5," mình dùng thấy máy cấu hình cực mạnh, màn hình amoled tần số quét 144hz/1ms, pin dung lượng lớn dùng 2 ngày mới phải sạc"
Lê Hoài Thu,4,"chụp hình ổn, nghe nhạc bằng loa ngoài chất, mọi thao tác đều tốt"
Kha,5, pin dùng được cả ngày nha
Huy,5,"mới mua được vài ngày,máy thiết kế đẹp,pin trâu,chụp ảnh siêu đẹp"
 Lê Quang Tiệp ,5, không có gì để chê cả
Ngô Thị Ánh,5,"máy đẹp, dùng thích, chất lượng dịch vụ tốt"
Trần Trọng Hiếu,4, còn choi game 1 thời gian sẽ khác thôi ae máy nào không vậy
 Ngọc Huyền,5,"pin khủng, trâu, loa ngoài của máy nghe khá lớn, đèn pin sáng và bật/tắt dễ dàng"
Duy Linh,5,đã mua hàng tại fpt nhiều lần
 hoang phuong,5,"rất hài lòng về sản phẩm, không ngờ hãng lại có sản phẩm ngon mà giá tốt như vậy"
Lan Nguyễn,5,"thiết kế xịn sò, quay video đêm siêu mượt, quá tuyệt vời"
Hà Lê Thư,5,"điện thoại thiết kế đẹp, cảm ứng tốt, giá phải chăng"
Đinh Văn Trường,5, và lúc nào thì có thể có hàng ạ 
Mai Ngọc,4, hcm còn điện thoại màu xanh dương 6/128 không ạ? với hỗ trợ em mua online nhé
Nguyễn Thị Ngọc Huyền,5,xài gần được 1 tháng nói chung máy đẹp xài rất tốt 
Ngô Quang Sang,5,"rẻ, pin tốt, màn to nhưng không đẹp, loa không quá to do để mặt sau"
HỒNG NAM,5,"máy có màu sắc đẹp, camera sắc nét, ảnh đẹp"
Đoàn Chung,5,fran của ios từ đời iphone 4s đến nay không có gì phải đánh giá vì 11 quá tuyệt vời
Lê Thị Hằng,5,mùa dịch mình đặt hàng online
Vũ Hoàng,5,shop giao nhanh hàng chất lượng đã mua nhiều lần vẫn ưng ý 
Minh Nhân,5,"ảnh selfie tự nhiên, có khả năng thu sáng tốt, lấp đầy không gian tối"
Đào Hải Yến,5,mới mua được hơn 1 tuần nhưng điện thoại xài rất ổn
 LUONG THI THANH TAM,5, sẽ ủng hộ và giới thiệu người thân mua
AN,5,thấy máy tốt thiết kế mặt lưng đẹp nói chung samfan nên thích mỗi samsung mua cho ông bà sài quá hợp lý với giá tiền này
Thu Phương,5,"mới dùng cảm thấy khá ổn, chơi game tốt, không nóng máy"
Thanh Duyên,4,"điện thoại mình là ip11 128gb vừa mới mua tháng 7 sao lúc gọi facetime zalo thì màn hình lại hay bị tối đi bất thường, hầu như lúc nào gọi cũng bị tối"
Nguyễn Lâm,5,"máy mượt,tác vụ tốt,do công việc nên sạc đầy pin xài được gần 3 ngày"
 Nguyễn Thanh Khiết ,5, nhưng tóm lại ưng ý ạ
ngô thị như ý,5,"màn hình lớn cực đã, rất đẹp"
 NGUYEN HONG DUONG,5,camera trước sau chụp ảnh đều nét cho ra các bức hình đẹp
Lưu Hoàng Apple,5, ai đang phân giữa ip13pro và s222 ultra hãy đọc cmt này
Khải,5, samsung mình thấy luôn chăm chút nhất về phần màn hình luôn ấy
Hồng Hanh,5," mọi người có thể đặt mua nha"
Hoàng Hà Anh ,5,rất hài lòng về chất lượng và dịch vụ của fpt 
Phạm Trần Thường,5,mình rất là hài lòng về sản phẩm của công ty mình sẽ giới thiệu cho bạn bè gia đình mình để sử dụng
Nam,5,thật sự không biết phải nói sao với mấy bạn hay phàn nàn
Trần Minh Quân,4,"camera chụp trên messenger rất tệ thiếu sáng tối thui, còn lại pin trâu chơi game rất tuyệt , màn hình đẹp"
Nguyễn Duy,5,"pin trâu, chơi game là mượt"
Bùi Hoàng Liên,5,"điện thoại có pin khỏe, dễ thao tác sử dụng"
 Nguyễn Hồng Sơn ,5,"giải trí ổn, không giật khi mở các trình video"
Võ Tấn Tài,5,"mình test thử máy này rồi, cực kỳ mượt và đã mắt"
Nguyên Du,5," máy pin khỏe, loa to, hỗ trợ kết nối di động 4g"
Bảo Bảo,5, không nóng máy và không bao giờ hao bin
Hoàng Nam,4,"sản phẩm tốt, giá phải chăng"
Đăng Đức Dũng,5, đã mua cái này là cái thứ 3
 CHỊ HƯƠNG,5,"các tính năng của máy đều ổn so với mức giá bán ra, phù hợp ng sử dụng"
Trung Nhân,5,"chỉ cần bật ngay chế độ vòng bù sáng và sẵn sàng tỏa sáng, sẽ nhận lại một bức ảnh rõ nét và vẻ đẹp tự nhiên với khả năng xử lý cực nhanh chóng"
Phan Quang Trường,5, còn lại đều đáng giá đồng tiền bát gạo :))))
Phương Bông ,5, mọi người nên sắm 1 em nó ạ 
Bình,4,sao không nhân bản zalo được vậy ạ
Trường An,5,"các dòng máy nhiều phân khúc giá rất phù hợp với người dùng , dễ dàng chọn lựa, màn hình đẹp"
Đỗ Minh Hiếu,5,"trải nghiệm rất tốt từ máy này, pin trâu, sạc không bằng sạc vooc nhưng cũng khá nhanh"
Quốc Thịnh,5," khung máy rất chắc chắn, nếp gấp dùng dần sẽ quen thôi"
T,5,tui xài thấy rất là tốt
Nguyễn Minh Thuận,5,sản phẩm rất tốt và chất lượng
 TRẦN THỊ NHI,5,"không giật khi xem video đâu, nhưng chụp hình mà rung thì hình ảnh không đẹp"
Nhà_Nghèo,4,"màn hình 120hz sử dụng mượt,chíp 732g dùng đỗ trệ ít,chụp hình chất lượng hình ảnh ở mức khá thôi,trong tầm giá này máy này gọi là ổn rồi"
 Trương Việt Hoàng,5,"máy đẹp, chất lượng tốt, không có gì để chê, khuyến mãi fptshop rất tốt"
Nguyễn Đức Mạnh,4," cho ra hình ảnh đen dần đi , xong zoom lên mờ, vỡ nét"
VŨ,4,là fan của nokia khi còn nhỏ tôi mong thương hiệu nokia sẽ ra nhiều mẫu đ
Nguyễn Trúc,5, dùng thêm bộ sạc nhanh nửa thì không lo về pin
Văn Tú,5,tôi đang ở an phú thuận nếu ngày mai tôi mua thì khoảng mấy ngày tgdd sẽ giao an
Tú,5,"máy quá tốt so với tầm giá, chụp ảnh đẹp, máy dùng lâu không hề bị nóng, mình sẽ ủng hộ dài"
Đào Mạnh Anh,4,n có bị call video lo tự dưng nhỏ không nghe được gì không
Huỳnh Huỳnh,4," mọi thứ tốt, nhất là pin"
Phan Anh,5,máy đẹp chup hinh đẹp mượt mà mua khoảng 1 tuần rồi thấy rất tốt pin trâu giá cả hợp lý
PHONG,5," cảm giác cầm nóng khi dùng ốp tốt , nhưng khi dùng bình thường khá trơn , mặt lưng kính mờ nên ít bám mồ hôi vân tay"
Đức,5,"những dòng nokia mình thấy dùng cực kì bền, mọi người nên dùng trải nghiệm"
Bùi Thanh Thanh,5,điện thoại giá rẻ nhưng các tính năng giải trí rất xịn sò
DUy Nam,5,ban đầu thấy ổn còn lâu dài thời gian mới đánh giá hết được
Đặng Tạ Thùy,5, sẽ giới thiệu cho người thân
Mai Chi,5,"xài được 1 tháng rồi, quá tốt luôn, giá thì rẻ thêm khuyến mãi nữa"
Lê Huyền,5,"mua được 1 tháng, dùng khá ổn, mượt mà, chơi game ổn định"
Nguyễn Văn Núi,4,điện thoại bị mất chưa gắn sim thì có thể tìm lại bằng vị trí được không mong được tư vấn nhanh nhất
Ngọc Hạnh,5,được giới thiệu mua xài lần đầu nhưng quả không thất vọng
Tấn Phát,5,"máy màu xám đẹp, trọng lượng không quá nặng, có sạc nhanh, có kháng nước, rất đáng giá tiền"
 Ngô Duy Khánh,4,"kết nối các ứng dụng nhanh, nghe nhạc hay"
Trần Gia Kỳ,5,"điện thoại tốt , chụp hình sắc nét "
Xuân Vượng,5,"mới dùng được 2 ngày thui, màn hình đẹp, phê lắm, hihi"
Trịnh Hảo,5,"giá thành hợp lý, máy dùng chất lượng tốt, pin bền "
Võ Để Hồng,5," kết nối mạng thì chậm, cảm ứng thì không nhạy "
Thành Pii,5,máy hoạt động tốt nhưng hay bị văng game vì dùng cửa sổ nỗi game turbo
 Phạm Ngọc Hân,5,máy hiệu năng khá ổn trong tầm giá kèm theo màu sắc trả trung cá tính rất thoải mái lựa chọn
 TRẦN DUY TIẾN,5," hàng về may mắn là bị trầy 1 chút xíu ở hộp, nói chung không ảnh hưởng, hàng mới nguyên"
Nguyễn Sơn,5,"nhiều ưu đãi, điện thoại siêu chất lượng, dùng bền, camera chụp ảnh sắc nét"
NGUYỄN TRIỀU ĐĂNG KHOA,5,"điện thoại dùng tốt, tuy đôi lúc có lỗi lặt vặt nhưng không đáng kể"
Ngô Thy Lam,5,"điện thoại dùng chơi game cực đã, hình ảnh, âm thanh sống động"
NGUYỄN THU ĐÀO,5,em loa tặng kèm chất lượng thật
Trung Tuấn,5, rất hài lòng với chất lượng máy ở phân khúc giá này
Huỳnh Trung Tín,5,"kiểu dáng sang trọng, cảm ứng mượt, dung lượng pin lớn, hình ảnh sắc nét"
 nguyễn thành giang,5,"từng chữ số đều được hiển thị lớn và hết sức rõ ràng, nhờ đó việc thao tác trên thiết bị trở nên đơn giản với mọi khách hàng"
Bảo Thạch,5,"với tầm giá này thì máy quá là chất lượng, máy thiết kế trẻ trung độc đáo với màn hình 90hz mượt mà, thời lượng pin ấn tượng"
Bách,4, nhưng sau khi cập nhật bản ngày 31
Phan Tuấn Anh,5,"giá cả phù hợp với từng phân khúc người dùng, sạc nhanh, máy dùng mượt mà"
Thu Trần,5,"điện thoại nhìn đẹp camera sau chụp hình ổn rõ nét nhưng mà trừ 1 điểm là camera trước chụp hình mờ với không hiện bóng bóng chat zalo, facebook mong nhà sản xuất khắc lỗi đó"
PHƯƠNG,5," tuy nhiên dễ bị nóng, nhưng hạ nhiệt cũng nhanh"
CHÂU,4,"máy đẹp, chụp hình bao thích"
LỢI,5, sạc nhanh - uống ly cafe thôi pin cũng gần đầy luôn vân tay nhanh
Võ Mỹ Hạnh,4,"khá ổn,kết nối mạng hơi yếu"
Mai Hữu Phước,5,lâu rồi mới sử dụng lại samsung mà mình cảm thấy rất hài lòng khi sử dụng em galaxy a23 này
Lô Minh Bình,4, máy có chế độ mở khóa bằng khuôn mặt
Huỳnh Trần Nhã Trang,5,"tốt lắm ạ, máy mượt hợp với giá tiền"
Hoa Bùi,5,"màu hường xinh quá, nhà táo ra hàng thì không chê được, "
Hùng,5,"đa nhiệm mượt mà ,cam tốt,không giật lag ,máy không nóng ,nói chung ổn"
Nguyễn Văn Thanh,4, máy cầm đầm tay hơn redmi note 10 
 ANH THẮNG  ,5,"fpt hỗ trợ trả góp nhanh, thay vì trả hết thì hàng tháng bỏ ra 1 khoản trả dần cũng được"
Nguyễn Thanh Huy,5,thật sự trải nghiệm rất đã
Đỗ Mỹ Trân,5,"điện thoại chụp ảnh, quay video siêu đẹp"
 anh Huân,5,"bật nhiều ứng dụng cùng lúc mà máy không bị giật, rất là tốt , giá cả hợp lý"
Thắng,5," nhìn video nó đẹp quá đi mất"
Lê Thị Oanh,5,"điện thoại dùng thích lắm ạ, lướt mạng nhanh, giá lại êm, rất tốt nhé"
Hoàng Dũng,5,"thiết kế đẹp và tinh tế, hiệu năng mượt, chơi game thấy khá tốt"
Annhien,5,mình dùng thấy tốt lên luôn chọn samsung
Kiên trung,5,"máy rất là tốt, đẳng cấp"
Ngọc Cẩm,5,"sản phẩm rất tốt rất nhiều tính năng hữu ích, đặt biệt chụp hình rất đẹp"
Hải Tú,5,sau 2 tuần sử dụng thì quá vừa lòng xứng đáng với số tiền bỏ ra
Nguyễn Thị Thùy Dung,5,"kiểu dáng đẹp, cảm biến vân tay tiện lợi, màn hình lớn, giải trí mượt mà, hiệu suất mượt mà"
Tiến Thành,5,"sản phẩm sang xịn mạnh, quá ngon trong tầm giá"
Chau Ô Đom,5,điện thoại tốt nhất năm nay
Minh Luân,5, đặc biệt chụp hình bao đẹp luôn
 Lê Thị Vân Anh,5,"máy đẹp cực kì, phần mặt lưng thiết kế hoàn thiện cực kì tốt"
Mai Mai,5,máy thiết kế cực kì tinh xảo hệ điều hành cực mượt và đặt biệt chụp hình siêu nét
Trắng,4,còn lại khá tốt sạc 67w là đủ r
BÙI CHÍ TÀI,4,redmi 10 có chs được liên quân cấu hình hd được không ạ em đang kiếm máy chs liên quân hd
Thao,4,"em mua máy này vào 29/5, sau khi sạc xong lần đầu tiên thì có hiện tượng rung mà không có thông báo"
Trần Văn Công,5,"giảm giá khủng, thiết kế sang trọng bền bỉ, được trả góp lãi suất 0%"
Ngô Anh,5,"máy có màn hình cảm ứng sắc nét mượt mà, âm thanh chuẩn"
Chiêu,5,điện thoại đơn giản nhưng khá đẹp
Phượng,5," pin dùng thoải mái , dung lượng lớn tải ứng dụng tha hồ"
Nguyen,4,"bị lỗi sạc mong ad duyệt hộ mua moi 15 ngày,nhan vien nhiet tinh,mong khac phuc som"
Võ Thành Đạt,5,với mức giá này thì a23 quá tốt rồi
Huỳnh Tấn Thọ,5, nếu đeo ốp thì không cảm thấy gì
Minh quyết,5,"màn hình đẹp, đủ sáng đẹp, tốc độ xử lý tốt, chưa thấy lag với những tác vụ hàng ngày"
Nguyễn Trung Khải,5,"điện thoại đơn giản nhưng khá đẹp, pin thì cực trâu, cầm chắc tay chứ không hề nặng"
Lê Trang,5,"mình mới mua điện thoại này vào buổi sáng hôm nay, điện thoại rất đẹp ạ"
Lâm Quốc Sơn,5,"máy hoàn hảo cả từ ngoài vào trong, lần đầu dòng s được trang bị bút s pen khá thú vị"
 Trần Thị Đoàn Thương,5,"cứ có sơn tùng là mua thôi, máy nào cũng ưng"
Ngoc Phu,5," camera sau chụp đẹp, hình ảnh tốt"
A Tiến,4,  m thanh 2 loa nhưng chưa đã
Uyên,5,mình luôn yên tâm về chất lượng sản phẩm tại fpt shop
Minh Hòa,5,"máy sạc pin nhanh cấp tốc luôn, cam chụp đẹp, siu ưng"
Trinh,4,"máy dùng tốt, nhưng mà không hiểu sao vào cài đặt lại hiện quảng cáo"
HIẾU,4," ram khi chưa chạy phần mềm nào nặng đã thấy mất 2.2 g, tức dư 1.8"
Tú Lê,5,"máy đẹp, mua tặng sinh nhật cho con trai, bé rất thích làm mình cũng vui"
Đỗ Bảo Ngọc,4, máy dùng khá là tốt so với tầm giá
Quyên,5,"thiết kế đẹp mắt, màn hình rộng, siêu nét, chụp ảnh chất lượng"
Bùi Thơ,5,"mở khóa hiện đại, lướt facebook, tik tok cũng nhanh, giá thành hợp lý"
Mỹ Lệ ,5,"thiết kế đẹp, pin ổn, sạc nhanh "
 Đặng bích hiền,5,"chứ phím to rõ, dễ dùng với người lớn tuổi"
 Tô Vũ Phong,5, 3 camera sau siêu nét độ phân giải lên tới 50mp cho những bức ảnh chân thực nhất
Coong,5,nào có tiền thì mua cho vợ cái nữa là đẹp
Đăng Trung,5,"thiết kế bền đẹp, màn hình hoàn hảo sắc nét, nhiều tính năng đỉnh cao, hỗ trợ sạc nhanh chóng"
Như Quynh,5,máy sai tốt lắm nha ad
Phúc Lê,4, không biết đây có phải là lỗi không nữa
Ngoan Ka,5,máy dùng quá mượt trong tầm giá
Nhiên Nguyễn,4,"điện thoại mới mua được 1 tuần mà nút âm lượng lúc bấm được lúc không, mong khắc phục sự cố"
Tú Anh,5,"sản phẩm tốt, pin xài được rất lâu"
Nhân,5,"và các game nhẹ - cảm ứng ổn, lâu lâu thấy nhạy quá - mình xài wifi nên chưa gắn sim để thử tạm thời thấy ổn định và hài lòng"
Ngô Minh Trí,5,"-chip snapdragon 680 mạnh mẽ trong phân khúc 4-5tr -ram 4gb hệ thống chiếm hết 2gb còn 2gb dư sức tác vụ cơ bản, vẫn đủ dùng để chơi game, khuyến khích mua bản 6gb nếu bạn thường hay chơi game để đa nhiệm tốt hơn -rom 64gb, hệ thống chiếm còn lại khoảng 45 gb, khuyến khích mua bản 128gb để có nhiều không gian lưu trữ hơn như video clip hoặc game -loa kép, âm thanh lớn lắm, nghe nhạc hay -nhiều tính năng hay ho trên thanh trung tâm điều khiển như: chế độ đọc sách (lọc ánh sáng xanh), chế độ nền tối, quay phim màn hình, chiếu màn hình lên tv, làm remote điều khiển các thiết bị như quạt, tv -pin khá trâu, sạc nhanh 1h là đầy pin"
Lê Hoàng Linh,5,kết cấu điện thoại rất tốt
Nguyễn trọng cường,5,"camera siêu nét, nhỏ gọn, giá thành hợp lý"
Nguyễn Minh Tòng,5," camera chụp & quay video rõ nét, nhiều tính năng, chống rung khá"
 Nguyễn Thị Như Thuỷ,5,"không gian hiển thị rộng, độ phân giải ấn tượng giúp hình ảnh luôn sắc nét"
Nguyễn Hoàng Phúc,5,ở phường 2 nguyễn huệ vĩnh long còn iphone 11 128gb hong ạ
Dieu Hong Bich,4," cam trước gọi video qua wechat với bạn bè trông rất nhợt nhạt, gọi video qua messenger với zalo thì mình chưa thử"
ÂN,4,"xài khá oke, có điều máy lâu lâu hay nóng"
THƯ,5, máy có cảm ứng vân tay và nhận diện khuôn mặt
 Võ Thị Tuyết Lang,5,ưu đãi các gói trả góp tốt
Huỳnh Văn Cảnh,4,"hay có lỗi vặt,(vẫn tự xử lý được), máy không phù hợp cho người nóng tính"
 Dương Minh Tuấn,5,"màu cam ra mắt đẹp quá, video call cực nét"
Vũ,5,lâu rồi samsung mới có sản phẩm giá phải chăng nhưng cấu hình tốt
Trần Trọng Hiếu,4,"điện thoại rất nhạy và mượt! sạc cực kì nhanh, mình dùng chủ yếu nghe gọi lướt web xem phim thì hơn 1 ngày mới hết"
Lê Hoàng Yến,4,"sản phẩm hiện tại, thiết kế đẹp mắt nhiều ứng dụng hay"
Tâm Anh,5,sản phẩm đẹp rất tốt dòng cao cấp không làm thất vọng tuyệt vời đáng đồng tiền 
mai ạnh,5,yên tâm vì mua máy chính hãng từ fpt
Ngô Minh Nguyệt,5,"điện thoại kết nối mạng nhanh, màn hình hiển thị sắc nét"
Hương,5,máy thiết kế đẹp dùng mượt trong tầm giá
Phạm Thành Hiếu,5," chơi liên quân mượt,, nếu dùng 4g thì cỡ 3 vòng máy xẻ hơi nóng,, nhưng chơi cf thì thoải mái"
Nguyễn Na,4,"sản phẩm tốt, mẫu mã đẹp"
Đoàn Duy Tân,5," - hơi nặng và to nếu từ điện thoại nhỏ như mình lên, sẽ mất thời gian để làm quen và sẽ rất khó khăn với ai làm việc nhiều qua điện thoại như mình (sẽ rất mỏi & đau tay nếu sử dụng liên tục trên 1 tiếng) - độ mượt & màn hình rất tốt so với điện thoại cũ"
 Anh Thuỷ,5,"điểm cộng thứ nhất với mình sản phẩm thiết kế đẹp, chất lượng sản phẩm tốt, đáng tiền"
Vương Nhu,5, 4g vào siêu thị lớn hơi yếu không biết do sim hay do máy
Tran Van Hao,5, pin củng mạnh dù chỉ 3k1 màn hình cũng không đến nỗi
Lê Thị Bích Ngọc,5,mới mua khoảng 1 tuần xài ổn pin trâu 
Gia Bảo,5,dùng tạm ổn cơ mà dễ nóng máy không biết do pin hay do thời tiết nóng quá
Nguyễn Khôi,5,mình đang định mua máy chơi game
Trung Đoàn,4, xài nhiều chung 1 ngày phải sạc lại
PHƯƠNG,4,máy xài rất tốt và mượt
 Đỗ Tấn Lai,5,"sản phẩm chính hãng fpt nên rất yên tâm sử dụng, khuyến mại cũng hỗ trợ khách tối đa, ngoài ra còn được tặng thêm phiếu mua hàng nhà thuốc long châu, cảm ơn fpt"
Thịnh,5,"máy rẻ chất lượng tốt, cảm ứng mượt và chính xác"
Lê Thị Hương,5,sản phẩm tốt trên sức tưởng tượng
 cường lê thanh,5,"bàn phím có nút ấn dễ dàng cực kì, dùng lực nhẹ đã xuống không như các sản phẩm trước mình dùng phải ấn mạnh"
Lương Mỹ Anh,5,"máy ổn trong tầm giá, đã dùng được 2 tuần chưa có gì phải chê được cả, xứng đáng với giá tiền"
Lò Văn Hươi,5,tôi sẽ giới thiệu sản phẩm đến bạn bè và người thân sản phẩm dùng tốt bền tiết kiệm âm thanh tốt
Nguyễn Minh Kha,5,máy rất đẹp ổn trong tầm giá  cấu hình không cao nhưng xài các tác vụ cơ bản vẫn ổn 
 Duong Thi Thuy Hang,5,"sản phẩm tốt, cảm ơn shop, cảm ơn fptshop!"
Hùng,5,máy cực ngon so với giá tiền bỏ ra
GIANG,5, có điều không biết do mạng hay do máy
Cường,5,"bộ nhớ trong lớn, lưu trữ thoải mái, cấu hình ổn định, giải trí mượt mà"
Phạm Anh Thông,5,"bộ nhớ khủng giúp lưu trữ hình ảnh, video thoải mái"
VU THI THUY,5, rất đáng đồng tiền bát gạo
Tuyết Mai,5,"màn hình lớn, cấu hình tuyệt đỉnh, camera độc đáo, pin dài"
CÔNG TY CỔ PHẦN TƯ VẤN KIỂM ĐỊNH GIAO THÔNG - XÂY DỰNG,5,"máy mượt, ưng ý, dịch vụ tốt"
Nguyệt Ánh,5," mua cho bà dùng nên không có vấn đề gì, pin được lâu"
Nguyễn Thị Ngọc Huyền,5," bình thường dùng oppo ram8g mà chạy nhiêu đó app thì thỉnh thoảng vào lại nó đã phải load lại app rồi) còn con này cứ gọi là chạy ầm ầm, sướng lắm, khoản này mình quá hài lòng với số tiền bỏ ra"
 BÙI DOÃN THÀ,5,"đẹp từ thiết kế màu với lớp phủ bóng mờ và lớp phủ nano trong hai tùy chọn màu sắc của t1x, vừa tinh túy vừa nổi bật nhìn rất năng động"
Quyền Linh,4,đã mua sản phẩm này và khá ưng dịch vụ của shop 1 hoàng văn thụ
VINH,4, về độ bền thì cần thêm thời gian mới đánh giá được
Hậu Tú,5,"điện thoại dung lượng lớn, màn hình mượt mà, chống nước cực tốt"
Thanh Phong,5,"máy nhỏ nhắn, thích nhất là còn giữ được phím home truyền thống"
Lê Thanh Xuân,5,"sản phẩm rất tốt,sẽ giới thiệu cho bạn bè và người thân"
Thang Steve,5,"điện thoại xài rất tốt luôn, máy nghe gọi tiếng lớn rõ ràng, lướt mạng cũng rất nhanh, pin xài khá lâu"
Mai Thắng,5,"quá ổn, đẹp, có camera chéo nổi bật"
Dương Huy Hạnh,5,màn hình 90hz đem lại cảm giác mượt mà không khựng lại khi dùng các tác vụ hằng ngày như lướt facebook instagram
Thanhkha,4,mình muốn trả góp thì cần những gì ạ
Nguyễn Tiến,5,"máy xài ổn, pin khá trâu, loa lớn, điện thoại nghe to rõ"
Phuong,5, 1 trải nghiệm hoàn toàn mới so với các điện thoại android thông thường khác
Ngô Quốc Cường,5,xài hàng mi thì chất lượng rồi không như ô redmi 
Như Quỳnh,5,"shop xử lý đơn hàng và giao nhanh chóng, lại còn miễn phí ship luôn"
Liêu Hoàng Dũng,5," trải nghiệm cảm thấy máy ổn, màn hình đẹp, pin đủ dùng và máy đáp ứng được nhu cầu của mình"
Phan Văn Tâm,4,"sản phẩm giá rẻ màn hình đẹp, pin trâu"
Phạm Thị Hà,5,điện thoại dùng mượt chụp ảnh đẹp
Hoàng Yến,5,mới mua 1tháng chụp hình rất là đẹp 
Hoa,5, phải dùng thêm thời gian để bk ntn nữa
Thanh,5,khá hài lòng khi mua máy này
